Id ; Genre ; Neuf ; Surface ; Pieces ; Quartier ; Prix
annonce-133772927-684474 ; Appartement ; 0; 58.0; 3 ; NaN ; 97200
annonce-131010247-534643 ; Appartement ; 0; 72.0; 4 ; cher ; 99500
annonce-136349637-584285 ; Appartement ; 0; 36.0; 2 ; radegonde ; 99910
annonce-133453281-584285 ; Appartement ; 0; 79.0; 3 ; sud ; 103600
annonce-138892759-584285 ; Appartement ; 0; 74.0; 4 ; NaN ; 106160
annonce-132161441-493099 ; Appartement ; 0; 84.0; 4 ; centre ; 117660
annonce-139128173-564157 ; Appartement ; 0; 68.0; 3 ; sud ; 123900
annonce-137635789-534643 ; Appartement ; 0; 88.2; 5 ; NaN ; 124900
annonce-138220661-506044 ; Appartement ; 0; 42.0; 2 ; nord ; 129950
annonce-138551779-534643 ; Appartement ; 0; 64.0; 3 ; NaN ; 138000
annonce-130326265-691611 ; Appartement ; 0; 96.0; 4 ; NaN ; 139900
annonce-140690103-507190 ; Appartement ; 0; 64.44; 3 ; halles ; 145000
annonce-138647297-507190 ; Appartement ; 0; 85.32; 4 ; NaN ; 159000
annonce-129192667-534643 ; Appartement ; 0; 76.9; 4 ; centre ; 188688
annonce-140190091-534643 ; Appartement ; 0; 85.86; 4 ; NaN ; 328600
annonce-139191857-493099 ; Maison ; 0; 110.0; 5 ; NaN ; 352000
annonce-139892787-534643 ; Maison ; 0; 130.0; 6 ; prébendes ; 440000
annonce-136473893-534643 ; Appartement ; 0; 119.08; 4 ; cathédrale ; 525000
annonce-137406075-507190 ; Maison ; 0; 216.0; 9 ; prébendes ; 549700
annonce-131093229-493099 ; Maison ; 0; 310.0; 8 ; NaN ; 599000
annonce-129220999-493099 ; Maison ; 0; 260.0; 9 ; centre ; 602000
annonce-137675303-534643 ; Appartement ; 0; 65.43; 3 ; NaN ; 106900
annonce-135325991-686187 ; Maison ; 0; 97.0; 5 ; halles ; 254400
annonce-132206523-564157 ; Appartement ; 0; 33.0; 1 ; NaN ; 35000
annonce-132491375-217360 ; Appartement ; 0; 12.73; 1 ; sud ; 44000
annonce-139455625-707343 ; Appartement ; 0; 32.0; 1 ; nord ; 55000
annonce-140915541-546915 ; Appartement ; 0; 32.0; 1 ; nord ; 55000
annonce-139257951-216502 ; Appartement ; 0; 46.0; 2 ; nord ; 57200
annonce-140954883-706906 ; Appartement ; 0; 21.0; 1 ; nord ; 58000
annonce-125252941-697674 ; Appartement ; 0; 34.0; 1 ; NaN ; 65000
annonce-136103009-190880 ; Appartement ; 0; 19.98; 1 ; 2 lions ; 66000
annonce-139961645-493093 ; Appartement ; 0; 30.0; 1 ; strasbourg ; 67500
annonce-139548587-686185 ; Appartement ; 0; 27.65; 2 ; NaN ; 68500
annonce-139079973-217354 ; Appartement ; 0; 28.0; 1 ; NaN ; 69300
annonce-141438853-543011 ; Appartement ; 0; 43.0; 3 ; cher ; 70000
annonce-141590677-484256 ; Appartement ; 0; 32.0; 1 ; NaN ; 70000
annonce-133960445-190880 ; Appartement ; 0; 17.0; 1 ; centre ; 71500
annonce-136583309-666759 ; Appartement ; 0; 66.0; 4 ; NaN ; 73030
annonce-141426617-190880 ; Appartement ; 0; 31.0; 1 ; NaN ; 74800
annonce-136310599-543011 ; Appartement ; 0; 52.82; 2 ; NaN ; 75000
annonce-128505785-564157 ; Appartement ; 0; 44.8; 2 ; cher ; 75000
annonce-134433561-686185 ; Appartement ; 0; 32.92; 2 ; NaN ; 75100
annonce-136520163-511781 ; Appartement ; 0; 19.1; 1 ; centre ; 76500
annonce-139342307-596787 ; Appartement ; 0; 71.0; 3 ; NaN ; 78480
annonce-132152241-305871 ; Appartement ; 0; 45.84; 2 ; NaN ; 79200
annonce-132152245-305871 ; Appartement ; 0; 45.0; 2 ; NaN ; 79200
annonce-140424147-547467 ; Appartement ; 0; 30.0; 1 ; halles ; 80000
annonce-134996625-686185 ; Appartement ; 0; 33.62; 2 ; sud ; 81900
annonce-130371679-305871 ; Appartement ; 0; 45.76; 2 ; NaN ; 82500
annonce-138523831-305871 ; Appartement ; 0; 28.38; 1 ; cluzel ; 82500
annonce-141584361-190880 ; Appartement ; 0; 62.0; 3 ; nord ; 82500
annonce-136403605-608032 ; Appartement ; 0; 46.0; 2 ; nord ; 84000
annonce-137820577-67784 ; Appartement ; 0; 79.54; 4 ; NaN ; 84300
annonce-137544729-190880 ; Appartement ; 0; 31.51; 1 ; NaN ; 85800
annonce-138339471-190880 ; Appartement ; 0; 30.5; 1 ; NaN ; 85800
annonce-140205155-216502 ; Appartement ; 0; 74.0; 4 ; 2 lions ; 86500
annonce-139732999-712218 ; Appartement ; 0; 44.0; 2 ; NaN ; 86800
annonce-140509867-507190 ; Appartement ; 0; 73.0; 4 ; NaN ; 87000
annonce-140072193-190880 ; Appartement ; 0; 31.23; 1 ; NaN ; 88000
annonce-134540401-511781 ; Appartement ; 0; 73.0; 3 ; cher ; 89550
annonce-140691961-547467 ; Appartement ; 0; 31.0; 1 ; halles ; 90000
annonce-137663211-295097 ; Appartement ; 0; 44.22; 2 ; NaN ; 90000
annonce-141583435-779977 ; Appartement ; 0; 45.0; 2 ; centre ; 90000
annonce-141583755-836912 ; Appartement ; 0; 71.0; 3 ; beaujardin ; 90000
annonce-139514009-552274 ; Appartement ; 0; 65.0; 3 ; beaujardin ; 91500
annonce-138245193-562241 ; Appartement ; 0; 62.0; 3 ; NaN ; 91500
annonce-138597753-686185 ; Appartement ; 0; 74.93; 4 ; beaujardin ; 92500
annonce-133222041-217360 ; Appartement ; 0; 64.0; 3 ; beaujardin ; 92700
annonce-136343315-718355 ; Appartement ; 0; 52.0; 3 ; nord ; 93500
annonce-139512905-545079 ; Appartement ; 0; 62.0; 3 ; gare ; 95400
annonce-138697701-670022 ; Appartement ; 0; 35.0; 2 ; cher ; 95500
annonce-141060029-710582 ; Appartement ; 0; 50.0; 2 ; NaN ; 96500
annonce-106784573-818232 ; Appartement ; 0; 32.0; 2 ; nord ; 97900
annonce-139766031-629422 ; Appartement ; 0; 65.0; 3 ; gare ; 98000
annonce-136054333-190880 ; Appartement ; 0; 44.0; 2 ; NaN ; 98100
annonce-141136739-507190 ; Appartement ; 0; 92.65; 4 ; sud ; 98500
annonce-138293025-793241 ; Appartement ; 0; 60.0; 3 ; beaujardin ; 99500
annonce-134865913-564157 ; Appartement ; 0; 87.0; 4 ; NaN ; 99900
annonce-138046881-596787 ; Appartement ; 0; 74.0; 3 ; NaN ; 101500
annonce-134343021-506044 ; Appartement ; 0; 31.0; 1 ; nord ; 101588
annonce-141288249-576272 ; Appartement ; 0; 36.0; 2 ; radegonde ; 101900
annonce-140713749-730884 ; Appartement ; 0; 72.0; 4 ; NaN ; 102000
annonce-134928995-576272 ; Appartement ; 0; 49.0; 2 ; NaN ; 102600
annonce-138923759-685506 ; Appartement ; 0; 65.0; 4 ; nord ; 102600
annonce-141527095-843923 ; Appartement ; 0; 62.0; 3 ; nord ; 104000
annonce-138046895-782544 ; Appartement ; 0; 34.0; 1 ; NaN ; 105000
annonce-132210875-552274 ; Appartement ; 0; 60.0; 3 ; strasbourg ; 106000
annonce-140812255-759157 ; Appartement ; 0; 93.0; 4 ; NaN ; 106500
annonce-119113991-530109 ; Appartement ; 0; 64.0; 3 ; strasbourg ; 107000
annonce-140509885-507190 ; Appartement ; 0; 79.85; 4 ; NaN ; 107000
annonce-139793905-839881 ; Appartement ; 0; 56.0; 3 ; beaujardin ; 107500
annonce-123161011-338206 ; Appartement ; 0; 44.0; 2 ; 2 lions ; 108600
annonce-132555987-745776 ; Appartement ; 0; 88.0; 4 ; cher ; 109000
annonce-134623253-190880 ; Appartement ; 0; 50.0; 2 ; cher ; 109000
annonce-138245833-303784 ; Appartement ; 0; 43.0; 2 ; gare ; 109000
annonce-137951137-292528 ; Appartement ; 0; 73.0; 4 ; cher ; 109000
annonce-124186911-545641 ; Appartement ; 0; 85.0; 3 ; NaN ; 109390
annonce-138855829-835156 ; Appartement ; 0; 79.0; 4 ; NaN ; 110000
annonce-140205159-216502 ; Appartement ; 0; 44.22; 2 ; 2 lions ; 110000
annonce-137327419-562241 ; Appartement ; 0; 79.0; 4 ; NaN ; 110000
annonce-125039983-720634 ; Appartement ; 0; 66.0; 4 ; sud ; 111000
annonce-140817171-846312 ; Appartement ; 0; 57.0; 3 ; nord ; 111900
annonce-140914441-710582 ; Appartement ; 0; 77.0; 3 ; sud ; 112000
annonce-134923719-493093 ; Appartement ; 0; 86.0; 5 ; sud ; 112500
annonce-141050041-759821 ; Appartement ; 0; 58.0; 3 ; NaN ; 113000
annonce-141584331-292528 ; Appartement ; 0; 75.0; 3 ; NaN ; 113360
annonce-130217251-305871 ; Appartement ; 0; 45.0; 1 ; halles ; 113500
annonce-134985997-686185 ; Appartement ; 0; 80.88; 5 ; NaN ; 113700
annonce-140408551-818232 ; Appartement ; 0; 59.5; 2 ; NaN ; 114000
annonce-141467137-305871 ; Appartement ; 0; 49.07; 2 ; nord ; 114500
annonce-138272955-543011 ; Appartement ; 0; 65.0; 3 ; NaN ; 115000
annonce-141424907-543953 ; Appartement ; 0; 75.0; 3 ; NaN ; 115000
annonce-137020451-305871 ; Appartement ; 0; 72.0; 4 ; nord ; 115500
annonce-136432003-215161 ; Appartement ; 0; 51.0; 2 ; tranchée ; 116100
annonce-141207137-710582 ; Appartement ; 0; 94.0; 4 ; NaN ; 117000
annonce-138776319-768848 ; Appartement ; 0; 85.0; 4 ; NaN ; 117500
annonce-140019439-629422 ; Appartement ; 0; 64.0; 3 ; gare ; 117500
annonce-133827599-295097 ; Appartement ; 0; 83.82; 4 ; NaN ; 118250
annonce-139279037-695190 ; Appartement ; 0; 62.0; 3 ; NaN ; 118900
annonce-133876141-710582 ; Appartement ; 0; 78.0; 3 ; NaN ; 119500
annonce-128643103-190880 ; Appartement ; 0; 42.0; 2 ; nord ; 119900
annonce-139971317-506044 ; Appartement ; 0; 68.0; 4 ; nord ; 119990
annonce-134685259-775560 ; Appartement ; 0; 45.0; 2 ; NaN ; 120000
annonce-140213725-544989 ; Appartement ; 0; 83.0; 4 ; cher ; 121000
annonce-119164375-511781 ; Appartement ; 0; 60.0; 3 ; NaN ; 121200
annonce-141526903-782089 ; Appartement ; 0; 73.0; 4 ; montjoyeux ; 121900
annonce-140399063-846312 ; Appartement ; 0; 63.0; 3 ; nord ; 122000
annonce-139078577-546233 ; Appartement ; 0; 84.0; 3 ; NaN ; 122500
annonce-130339721-728849 ; Appartement ; 0; 89.0; 4 ; portes ; 123000
annonce-131461077-670022 ; Appartement ; 0; 41.0; 2 ; centre ; 123000
annonce-139554183-295097 ; Appartement ; 0; 62.58; 3 ; NaN ; 123625
annonce-135381549-697654 ; Appartement ; 0; 73.0; 4 ; NaN ; 124355
annonce-130107041-305871 ; Appartement ; 0; 68.2; 3 ; velpeau ; 124500
annonce-133733723-216502 ; Appartement ; 0; 73.51; 4 ; beaujardin ; 124775
annonce-140346219-305871 ; Appartement ; 0; 49.0; 2 ; nord ; 124775
annonce-140563829-759157 ; Appartement ; 0; 65.0; 4 ; beaujardin ; 125000
annonce-139884493-846312 ; Appartement ; 0; 58.0; 3 ; nord ; 125000
annonce-140019297-562241 ; Appartement ; 0; 79.0; 5 ; NaN ; 126000
annonce-141303995-545405 ; Appartement ; 0; 82.0; 4 ; NaN ; 126000
annonce-141426343-547683 ; Appartement ; 0; 72.0; 3 ; NaN ; 126500
annonce-139657045-506044 ; Appartement ; 0; 45.0; 2 ; nord ; 126950
annonce-137144595-818768 ; Appartement ; 0; 44.0; 2 ; nord ; 127000
annonce-141438855-543011 ; Appartement ; 0; 63.0; 3 ; NaN ; 127000
annonce-140195819-789960 ; Appartement ; 0; 83.0; 3 ; NaN ; 127500
annonce-134637151-295097 ; Appartement ; 0; 89.05; 4 ; NaN ; 129000
annonce-140020597-826461 ; Appartement ; 0; 41.0; 2 ; cher ; 129000
annonce-131766429-686185 ; Appartement ; 0; 71.0; 4 ; febvotte ; 129100
annonce-139947009-697654 ; Appartement ; 0; 74.0; 4 ; NaN ; 129320
annonce-136374103-544281 ; Appartement ; 0; 79.0; 4 ; NaN ; 130000
annonce-141073591-759157 ; Appartement ; 0; 75.0; 4 ; NaN ; 130000
annonce-141209349-617153 ; Appartement ; 0; 49.0; 2 ; NaN ; 130000
annonce-133905113-292528 ; Appartement ; 0; 44.0; 3 ; gare ; 130200
annonce-141160095-305871 ; Appartement ; 0; 76.0; 3 ; centre ; 130200
annonce-136916349-410675 ; Appartement ; 0; 86.0; 4 ; strasbourg ; 131000
annonce-141339685-376235 ; Appartement ; 0; 49.69; 2 ; halles ; 131250
annonce-140691699-793081 ; Appartement ; 0; 49.0; 2 ; NaN ; 131500
annonce-138946939-695190 ; Appartement ; 0; 78.0; 3 ; NaN ; 132000
annonce-140382715-686185 ; Appartement ; 0; 74.33; 3 ; NaN ; 134500
annonce-126679501-292528 ; Appartement ; 0; 68.0; 3 ; NaN ; 135625
annonce-134832701-292528 ; Appartement ; 0; 64.0; 3 ; eloi ; 135625
annonce-135539869-217360 ; Appartement ; 0; 80.89; 4 ; gare ; 135625
annonce-136361641-190880 ; Appartement ; 0; 55.57; 2 ; centre ; 135899
annonce-138624859-190880 ; Appartement ; 0; 63.84; 3 ; sud ; 136000
annonce-139767461-547467 ; Appartement ; 0; 45.0; 3 ; cathédrale ; 136850
annonce-141527097-843923 ; Appartement ; 0; 84.0; 4 ; strasbourg ; 138000
annonce-140509877-507190 ; Appartement ; 0; 74.0; 4 ; cathédrale ; 139000
annonce-135820095-778862 ; Appartement ; 0; 65.0; 3 ; nord ; 139000
annonce-136420239-544955 ; Appartement ; 0; 76.0; 3 ; NaN ; 140000
